acronym,expansions,description
AU,Accreditation University,Process of quality assurance in higher education
NAAC,National Assessment and Accreditation Council,Autonomous body assessing and accrediting institutions of higher education in India
NABH,National Accreditation Board for Hospitals and Healthcare Providers,Body that operates accreditation programs for healthcare organizations
NBA,National Board of Accreditation,Autonomous body responsible for accreditation of technical and professional programs in India
LOR,Letter of Recommendation,Letter supporting a student's application written by a referee
SOP,Statement of Purpose,Essay stating the purpose of applying to a particular course or university
DTH,Direct-to-Home,Satellite television broadcasting technology
BHU,Banaras Hindu University,Central university in Varanasi and one of the largest residential universities in Asia
DU,Delhi University,Central university located in Delhi and one of the largest universities in India
JNU,Jawaharlal Nehru University,Premier central university in New Delhi known for social sciences and international studies
DAAS,Desktop as a Service,Cloud computing service model
IAAS,Infrastructure as a Service,Cloud computing service model
PAAS,Platform as a Service,Cloud computing service model
SAAS,Software as a Service,Software licensing and delivery model
ECE,Educational Credential Evaluators,Organization providing credential evaluations for international students
NACES,National Association of Credential Evaluation Services,Association of credential evaluation services in the US
WES,World Education Services,Organization providing credential evaluations for international students
JSON,JavaScript Object Notation,Lightweight data interchange format
XML,Extensible Markup Language,Markup language for encoding documents
BA,Bachelor of Arts,Undergraduate degree in arts and humanities
BAMS,Bachelor of Ayurvedic Medicine and Surgery,Undergraduate degree in Ayurvedic medicine
BARCH,Bachelor of Architecture,Undergraduate degree in architecture
BBA,Bachelor of Business Administration,Undergraduate degree in business administration
BCA,Bachelor of Computer Applications,Undergraduate degree in computer applications
BCOM,Bachelor of Commerce,Undergraduate degree in commerce
BDS,Bachelor of Dental Surgery,Undergraduate professional degree in dentistry
BDES,Bachelor of Design,Undergraduate degree in design
BE,Bachelor of Engineering,Undergraduate professional engineering degree
BELED,Bachelor of Elementary Education,Undergraduate degree for elementary school teachers
BFA,Bachelor of Fine Arts,Undergraduate degree in fine arts
BFSC,Bachelor of Fisheries Science,Undergraduate degree in fisheries science
BHM,Bachelor of Hotel Management,Undergraduate degree in hotel management
BHMS,Bachelor of Homeopathic Medicine and Surgery,Undergraduate degree in homeopathic medicine
BLIS,Bachelor of Library and Information Science,Undergraduate degree in library science
BMLT,Bachelor of Medical Laboratory Technology,Undergraduate degree in medical laboratory technology
BNYS,Bachelor of Naturopathy and Yogic Sciences,Undergraduate degree in naturopathy and yoga
BOT,Bachelor of Occupational Therapy,Undergraduate degree in occupational therapy
BPED,Bachelor of Physical Education,Undergraduate degree in physical education
BPT,Bachelor of Physiotherapy,Undergraduate degree in physiotherapy
BPHARM,Bachelor of Pharmacy,Undergraduate degree in pharmacy
BPLAN,Bachelor of Planning,Undergraduate degree in planning
BSMS,Bachelor of Siddha Medicine and Surgery,Undergraduate degree in Siddha medicine
BSW,Bachelor of Social Work,Undergraduate degree in social work
BSC,Bachelor of Science,Undergraduate degree in science
BSC AG,Bachelor of Science in Agriculture,Undergraduate degree in agriculture
BSC FORESTRY,Bachelor of Science in Forestry,Undergraduate degree in forestry
BSC HORTICULTURE,Bachelor of Science in Horticulture,Undergraduate degree in horticulture
BSC NURSING,Bachelor of Science in Nursing,Undergraduate degree in nursing
BTTM,Bachelor of Travel and Tourism Management,Undergraduate degree in travel and tourism management
BTECH,Bachelor of Technology,Undergraduate professional engineering degree
BUMS,Bachelor of Unani Medicine and Surgery,Undergraduate degree in Unani medicine
BVSC,Bachelor of Veterinary Science,Undergraduate degree in veterinary science
LLB,Bachelor of Laws,Undergraduate professional degree in law
LLM,Master of Laws,Postgraduate degree in law
MA,Master of Arts,Postgraduate degree in arts and humanities
MARCH,Master of Architecture,Postgraduate degree in architecture
MBA,Master of Business Administration,Postgraduate degree in business administration
MBBS,Bachelor of Medicine and Bachelor of Surgery,Undergraduate professional degree in medicine
MCA,Master of Computer Applications,Postgraduate degree in computer applications
MCOM,Master of Commerce,Postgraduate degree in commerce
MD,Doctor of Medicine,Postgraduate medical degree
MDS,Master of Dental Surgery,Postgraduate degree in dentistry
MDES,Master of Design,Postgraduate degree in design
ME,Master of Engineering,Postgraduate engineering degree
MFA,Master of Fine Arts,Postgraduate degree in fine arts
MFSC,Master of Fisheries Science,Postgraduate degree in fisheries science
MLIS,Master of Library and Information Science,Postgraduate degree in library science
MOT,Master of Occupational Therapy,Postgraduate degree in occupational therapy
MPED,Master of Physical Education,Postgraduate degree in physical education
MPT,Master of Physiotherapy,Postgraduate degree in physiotherapy
MPHARM,Master of Pharmacy,Postgraduate degree in pharmacy
MPHIL,Master of Philosophy,Advanced postgraduate research degree
MPLAN,Master of Planning,Postgraduate degree in planning
MS,Master of Surgery,Postgraduate surgical degree
MSW,Master of Social Work,Postgraduate degree in social work
MSC,Master of Science,Postgraduate degree in science
MSC AG,Master of Science in Agriculture,Postgraduate degree in agriculture
MSC NURSING,Master of Science in Nursing,Postgraduate degree in nursing
MTECH,Master of Technology,Postgraduate engineering degree
MVSC,Master of Veterinary Science,Postgraduate degree in veterinary science
UI,User Interface,Visual elements users interact with
UX,User Experience,Overall experience of using a product
PG DIPLOMA,Post Graduate Diploma,Diploma course after graduation
UG DIPLOMA,Under Graduate Diploma,Diploma course after 10+2
DLITT,Doctor of Letters,Higher doctoral degree in humanities
DPHIL,Doctor of Philosophy,Alternative term for PhD used by some universities
DSC,Doctor of Science,Higher doctoral degree in science
PHD,Doctor of Philosophy,Highest academic degree awarded by universities
LTI,Learning Tools Interoperability,Standard for integration of learning applications
QTI,Question and Test Interoperability,Standard for representing assessment content
SCORM,Sharable Content Object Reference Model,Standard for e-learning content interoperability
XAPI,Experience API,Specification for learning technology interoperability
ERP,Enterprise Resource Planning,Software for managing institutional processes
LMS,Learning Management System,"Software application for administration, documentation, tracking of educational courses"
NPTEL,National Programme on Technology Enhanced Learning,Joint initiative of IITs and IISc for online certification courses
OER,Open Educational Resources,"Freely accessible, openly licensed educational materials"
SPOC,Small Private Online Course,Online course with limited enrollment and often requires fees
JJ ACT,Juvenile Justice Act,Act for care and protection of children
POCSO,Protection of Children from Sexual Offences,Act to protect children from sexual abuse and exploitation
RPWD ACT,Rights of Persons with Disabilities Act,Act protecting rights of persons with disabilities including in education
RTE,Right to Education,Act providing free and compulsory education for children between 6 and 14 years
RTE ACT,Right to Education Act,Act mandating free and compulsory education for children aged 6-14 years
